#{"t_start": 1763475096.943309, "env_id": "CartPole-v1"}
r,l,t
25.0,25,3.568617
55.0,55,3.606041
14.0,14,3.615058
26.0,26,3.63069
14.0,14,3.639694
37.0,37,3.671923
15.0,15,3.68125
21.0,21,3.696536
13.0,13,3.704357
13.0,13,3.713613
12.0,12,3.721056
65.0,65,3.767706
38.0,38,3.792672
15.0,15,3.803826
22.0,22,3.819186
32.0,32,3.843664
38.0,38,3.86928
17.0,17,3.880538
19.0,19,3.892355
20.0,20,3.905349
28.0,28,3.922232
45.0,45,3.951253
16.0,16,3.960252
65.0,65,3.999579
19.0,19,4.011929
28.0,28,4.0277
12.0,12,4.033783
53.0,53,4.064495
42.0,42,4.093456
28.0,28,4.111314
14.0,14,4.119537
25.0,25,4.133955
45.0,45,4.160964
12.0,12,4.169744
10.0,10,4.176077
33.0,33,4.195887
11.0,11,4.202949
12.0,12,4.209953
29.0,29,4.227086
42.0,42,4.251755
22.0,22,4.266189
15.0,15,4.275648
41.0,41,4.302039
10.0,10,4.309038
63.0,63,4.343955
16.0,16,4.352614
37.0,37,4.377533
19.0,19,4.388613
15.0,15,4.398282
51.0,51,4.428239
18.0,18,4.438554
12.0,12,4.447983
31.0,31,4.46425
31.0,31,4.481355
12.0,12,4.489358
42.0,42,4.515379
49.0,49,4.548987
10.0,10,4.554987
21.0,21,4.56924
11.0,11,4.576241
18.0,18,4.587433
11.0,11,4.593431
14.0,14,4.601479
17.0,17,4.611737
18.0,18,4.624429
27.0,27,4.642339
36.0,36,4.664301
12.0,12,4.672151
19.0,19,4.687687
43.0,43,4.712944
33.0,33,4.732054
15.0,15,4.741583
14.0,14,4.752257
49.0,49,4.784351
23.0,23,4.797322
17.0,17,4.807471
18.0,18,4.820166
28.0,28,4.837174
9.0,9,4.842176
